Impact category,A1,A2,A3,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1-C4,C1,C2,C3,C4,D
acidification | accumulated exceedance (AE),101.03387989012316,57.539301258157906,0.4379360278192347,159.0111171761003,3.492562857266621,5.72473210641872,0.0,4.818451958001187,0.0,0.0,0.0,761622.274263275,0.011679685468821543,501721.3255690758,501719.8073909982,0.4656750476355495,0.8352475961384517,0.21725543384394774,-464.9487754063094
climate change | global warming potential (GWP100),11162.525964991335,6785.837693604236,43.58937052675078,17991.953029122324,632.0678850440651,1299.9307166596777,32175.0,1062.4737577564845,0.0,0.0,0.0,75807043.50725804,0.9329994898308777,111983531.82926434,111983136.3001332,84.27571800587535,242.92434392315104,68.32906920512342,-86679.86532038968
climate change: biogenic | global warming potential (GWP100),10.944602021388398,2.8560603837698917,0.2704755485093042,14.071137953667595,0.11930131232049324,2.797929010689652,0.0,1.0602804280077056,0.0,0.0,0.0,470388.79951044585,0.10283085185003579,117660.54027916981,117660.21344142854,0.01590684164273243,0.2393649823859364,0.07156591725641576,-134.33299863647304
climate change: fossil | global warming potential (GWP100),11140.026673976403,6780.274185771252,43.11642865929479,17963.41728840695,631.7448771530824,1295.0348135589484,32175.0,1060.580225365705,0.0,0.0,0.0,74984541.95953238,0.8292987777159894,111744378.73655273,111743983.86553109,84.23265028707766,242.40139912984083,68.23697222530811,-86373.93767972138
climate change: land use and land use change | global warming potential (GWP100),11.554688993547687,2.7074474492162777,0.2024663189466575,14.464602761710621,0.20370657866228112,2.0979740900394654,0.0,0.8332519627717587,0.0,0.0,0.0,352112.7482151723,0.0008698602648526399,121492.55243243625,121492.2211606856,0.027160877154970814,0.2835798109242685,0.020531062558925443,-171.5946420318428
ecotoxicity: freshwater | comparative toxic unit for ecosystems (CTUe),122225.9003330458,14447.213434643842,8064.8171804350995,144737.93094812473,1328.0013192798172,83199.51519724849,0.0,6377.258729706557,0.0,0.0,0.0,14025665878.797865,151.86761473276755,733616433.2689978,733614896.9126273,177.06684257064228,1152.9665251291349,206.32300284268229,-261651.43870588412
"ecotoxicity: freshwater, inorganics | comparative toxic unit for ecosystems (CTUe)",118595.3231635792,13659.816591937517,8060.265224715002,140315.40498023172,1262.838504775694,83134.81622211973,0.0,5845.365638171563,0.0,0.0,0.0,14017749492.276415,151.63931122925095,717692111.6665299,717690659.050145,168.37846730342588,1081.226443405584,203.01147416670145,-252744.4749291481
"ecotoxicity: freshwater, organics | comparative toxic unit for ecosystems (CTUe)",3630.5771694665264,787.3968427063389,4.551955720096275,4422.5259678929615,65.16281450412416,64.69897512874755,0.0,531.8930915349908,0.0,0.0,0.0,7916386.521449786,0.2283035035170429,15924321.602468323,15924237.862482656,8.688375267216554,71.7400817235501,3.311528675981102,-8906.963776737013
energy resources: non-renewable | abiotic depletion potential (ADP): fossil fuels,145894.14625715883,92207.42847510506,661.9016977035806,238763.47642996747,8973.041988505445,8579.9304993214,0.0,39468.3704179978,0.0,0.0,0.0,1151124923.0944917,12.135609686796759,1339238882.879138,1339230822.0741074,1196.4055984673928,6484.25445534794,380.1449769600718,-1166295.6830768152
eutrophication: freshwater | fraction of nutrients reaching freshwater end compartment (P),5.909752584738488,0.5328518548610487,0.06319018734438563,6.505794626943922,0.04387730107076037,0.6548607292317659,0.0,0.22951016293728574,0.0,0.0,0.0,109895.16993157419,0.000438401687785929,59802.44493483222,59801.041882055804,0.005850306809434717,0.08838819184875518,1.3088142777611684,-43.82619815345742
eutrophication: marine | fraction of nutrients reaching marine end compartment (N),11.567606438094533,24.429648486013193,0.10687963299189597,36.10413455709962,1.4841563347982645,1.670257189844297,0.0,0.9046707511761118,0.0,0.0,0.0,185876.2558473767,0.0008388257168258224,108178.78101199222,108178.32309939209,0.19788751130643525,0.19323020118897832,0.06679488763371759,-90.5866949930863
eutrophication: terrestrial | accumulated exceedance (AE),117.55210959116818,267.57851971496945,1.1435805423924128,386.27420984853,16.184543271942548,18.00530333533657,0.0,9.364878209829662,0.0,0.0,0.0,1988821.102107746,0.008163202772929923,1103920.8565908468,1103916.0716032963,2.157939102925673,1.8827339456630083,0.7443145018369958,-911.172241400699
human toxicity: carcinogenic | comparative toxic unit for human (CTUh),1.8466243641762573e-05,2.087371920821154e-06,2.4202602416305017e-07,2.0795641586746777e-05,2.3684346226528226e-07,2.5045207869748787e-06,0.0,2.4580859619208213e-07,0.0,0.0,0.0,0.4209117296694458,2.6514335956695293e-09,0.07852603277223962,0.07852547681001133,3.157912830203764e-08,8.72543645920986e-08,4.3712873538261607e-07,-1.7239933525226765e-05
"human toxicity: carcinogenic, inorganics | comparative toxic unit for human (CTUh)",4.370933049390198e-06,5.482435597407136e-07,2.3624716239874477e-07,5.155423771529657e-06,4.196106920116287e-08,2.4354548107981308e-06,0.0,1.261401301421727e-07,0.0,0.0,0.0,0.4108616091952288,2.6752394635842394e-10,0.023941441993854718,0.0239409725537121,5.594809226821715e-09,3.29626399787935e-08,4.308826934134977e-07,-1.057445981473187e-05
"human toxicity: carcinogenic, organics | comparative toxic unit for human (CTUh)",1.4095310592372381e-05,1.53912836108044e-06,5.778861764305265e-09,1.5640217815217126e-05,1.9488239306411932e-07,6.90659761767468e-08,0.0,1.1966846604990944e-07,0.0,0.0,0.0,0.010050120474216773,2.3839096493111064e-09,0.054584590778384824,0.05458450425629916,2.598431907521591e-08,5.429172461330514e-08,6.2460419691181055e-09,-6.665473710494898e-06
