Impact category,A1,A2,A3,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1-C4,C1,C2,C3,C4,D
acidification | accumulated exceedance (AE),1.010e+02,3.435e+01,0.000e+00,1.354e+02,3.493e+00,5.725e+00,0.000e+00,1.735e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.168e-02,1.518e+00,0.000e+00,4.657e-01,8.352e-01,2.173e-01,0.000e+00
climate change | global warming potential (GWP100),1.116e+04,3.352e+03,0.000e+00,1.451e+04,6.321e+02,5.849e+02,0.000e+00,3.825e+01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.330e-01,3.955e+02,0.000e+00,8.428e+01,2.429e+02,6.833e+01,0.000e+00
climate change: biogenic | global warming potential (GWP100),1.094e+01,2.157e+00,0.000e+00,1.310e+01,1.193e-01,2.798e+00,0.000e+00,3.817e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.028e-01,3.268e-01,0.000e+00,1.591e-02,2.394e-01,7.157e-02,0.000e+00
climate change: fossil | global warming potential (GWP100),1.114e+04,3.348e+03,0.000e+00,1.449e+04,6.317e+02,5.800e+02,0.000e+00,3.818e+01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.293e-01,3.949e+02,0.000e+00,8.423e+01,2.424e+02,6.824e+01,0.000e+00
climate change: land use and land use change | global warming potential (GWP100),1.155e+01,2.095e+00,0.000e+00,1.365e+01,2.037e-01,2.098e+00,0.000e+00,3.000e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.699e-04,3.313e-01,0.000e+00,2.716e-02,2.836e-01,2.053e-02,0.000e+00
ecotoxicity: freshwater | comparative toxic unit for ecosystems (CTUe),1.222e+05,8.199e+03,0.000e+00,1.304e+05,1.328e+03,8.320e+04,0.000e+00,2.296e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.519e+02,1.536e+03,0.000e+00,1.771e+02,1.153e+03,2.063e+02,0.000e+00
"ecotoxicity: freshwater, inorganics | comparative toxic unit for ecosystems (CTUe)",1.186e+05,7.792e+03,0.000e+00,1.264e+05,1.263e+03,8.313e+04,0.000e+00,2.104e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.516e+02,1.453e+03,0.000e+00,1.684e+02,1.081e+03,2.030e+02,0.000e+00
"ecotoxicity: freshwater, organics | comparative toxic unit for ecosystems (CTUe)",3.631e+03,4.062e+02,0.000e+00,4.037e+03,6.516e+01,6.470e+01,0.000e+00,1.915e+01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.283e-01,8.374e+01,0.000e+00,8.688e+00,7.174e+01,3.312e+00,0.000e+00
energy resources: non-renewable | abiotic depletion potential (ADP): fossil fuels,1.459e+05,4.464e+04,0.000e+00,1.905e+05,8.973e+03,8.580e+03,0.000e+00,1.421e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.214e+01,8.061e+03,0.000e+00,1.196e+03,6.484e+03,3.801e+02,0.000e+00
eutrophication: freshwater | fraction of nutrients reaching freshwater end compartment (P),5.910e+00,4.596e-01,0.000e+00,6.369e+00,4.388e-02,6.549e-01,0.000e+00,8.262e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.384e-04,1.403e+00,0.000e+00,5.850e-03,8.839e-02,1.309e+00,0.000e+00
eutrophication: marine | fraction of nutrients reaching marine end compartment (N),1.157e+01,1.437e+01,0.000e+00,2.594e+01,1.484e+00,1.670e+00,0.000e+00,3.257e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.388e-04,4.579e-01,0.000e+00,1.979e-01,1.932e-01,6.679e-02,0.000e+00
eutrophication: terrestrial | accumulated exceedance (AE),1.176e+02,1.573e+02,0.000e+00,2.748e+02,1.618e+01,1.801e+01,0.000e+00,3.371e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.163e-03,4.785e+00,0.000e+00,2.158e+00,1.883e+00,7.443e-01,0.000e+00
human toxicity: carcinogenic | comparative toxic unit for human (CTUh),1.847e-05,8.441e-07,0.000e+00,1.931e-05,2.368e-07,2.505e-06,0.000e+00,8.849e-09,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.651e-09,5.560e-07,0.000e+00,3.158e-08,8.725e-08,4.371e-07,0.000e+00
"human toxicity: carcinogenic, inorganics | comparative toxic unit for human (CTUh)",4.371e-06,3.106e-07,0.000e+00,4.681e-06,4.196e-08,2.435e-06,0.000e+00,4.541e-09,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.675e-10,4.694e-07,0.000e+00,5.595e-09,3.296e-08,4.309e-07,0.000e+00
